Format Version,1.23,Take Name,Take 2024-05-10 11.31.19 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-05-10 11.31.19.221 AM,Total Frames in Take,9420,Total Exported Frames,9420,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,w,X,Y,Z
182,1.516667,-0.002078,0.008560,0.008970,-0.999921,89.182365,222.639496,-144.593124
183,1.525000,-0.002067,0.008546,0.009025,-0.999921,89.190338,222.632462,-144.581680
184,1.533333,-0.002045,0.008535,0.008937,-0.999922,89.193047,222.637619,-144.577057
185,1.541667,-0.002041,0.008533,0.008994,-0.999921,89.183914,222.633041,-144.588852
186,1.550000,-0.002047,0.008529,0.009020,-0.999921,89.176369,222.650665,-144.597260
187,1.558333,-0.002024,0.008509,0.008973,-0.999922,89.210205,222.646515,-144.583221
188,1.566667,-0.002037,0.008482,0.008941,-0.999922,89.223099,222.646011,-144.593353
189,1.575000,-0.002065,0.008504,0.008960,-0.999922,89.201508,222.654663,-144.597321
190,1.583333,-0.002040,0.008487,0.008970,-0.999922,89.213493,222.659698,-144.592606
191,1.591667,-0.002052,0.008513,0.008900,-0.999922,89.200096,222.658813,-144.592850
192,1.600000,-0.002105,0.008488,0.008887,-0.999922,89.203087,222.656235,-144.583069
193,1.608333,-0.002056,0.008486,0.008925,-0.999922,89.187325,222.663361,-144.589539
194,1.616667,-0.002083,0.008514,0.008896,-0.999922,89.186699,222.662033,-144.591278
195,1.625000,-0.002138,0.008505,0.008889,-0.999922,89.173752,222.657761,-144.583633
196,1.633333,-0.002080,0.008551,0.008919,-0.999922,89.168983,222.667633,-144.589859
197,1.641667,-0.002080,0.008540,0.008992,-0.999921,89.172165,222.660950,-144.586685
198,1.650000,-0.002082,0.008580,0.008995,-0.999921,89.148689,222.643021,-144.589081
199,1.658333,-0.002140,0.008573,0.008945,-0.999921,89.152649,222.644119,-144.608704
200,1.666667,-0.002058,0.008626,0.009008,-0.999920,89.130562,222.653809,-144.594254
201,1.675000,-0.002111,0.008649,0.008978,-0.999920,89.124504,222.625809,-144.604858
202,1.683333,-0.002093,0.008659,0.008990,-0.999920,89.117599,222.644226,-144.613434
203,1.691667,-0.002131,0.008660,0.008982,-0.999920,89.117546,222.642242,-144.614548
204,1.700000,-0.002077,0.008682,0.009031,-0.999919,89.092430,222.614761,-144.598206
205,1.708333,-0.002134,0.008704,0.008989,-0.999919,89.057564,222.613556,-144.601685
206,1.716667,-0.002158,0.008709,0.008993,-0.999919,89.074638,222.636948,-144.631256
207,1.725000,-0.002079,0.008667,0.009012,-0.999920,89.085243,222.628448,-144.595291
208,1.733333,-0.002117,0.008676,0.009041,-0.999919,89.073944,222.632523,-144.604568
209,1.741667,-0.002161,0.008666,0.008975,-0.999920,89.068077,222.631927,-144.616516
210,1.750000,-0.002141,0.008650,0.009003,-0.999920,89.042603,222.592560,-144.576126
211,1.758333,-0.002106,0.008601,0.008982,-0.999921,89.104462,222.646790,-144.594650
212,1.766667,-0.002095,0.008575,0.008957,-0.999921,89.115112,222.644455,-144.575409
213,1.775000,-0.002089,0.008585,0.009001,-0.999920,89.113503,222.646759,-144.576874
214,1.783333,-0.002057,0.008514,0.008934,-0.999922,89.117508,222.639221,-144.580627
215,1.791667,-0.002106,0.008484,0.008852,-0.999923,89.123260,222.651215,-144.585495
216,1.800000,-0.002082,0.008485,0.008916,-0.999922,89.140968,222.670380,-144.559235
217,1.808333,-0.002045,0.008459,0.008942,-0.999922,89.137810,222.656570,-144.561523
218,1.816667,-0.002111,0.008391,0.008856,-0.999923,89.158165,222.649490,-144.577942
219,1.825000,-0.002103,0.008413,0.008883,-0.999923,89.161934,222.672546,-144.566376
220,1.833333,-0.002054,0.008447,0.008933,-0.999922,89.173645,222.652481,-144.561569
221,1.841667,-0.002025,0.008425,0.009017,-0.999922,89.159904,222.649063,-144.573502
222,1.850000,-0.002062,0.008448,0.008915,-0.999922,89.153168,222.669189,-144.571472
223,1.858333,-0.002048,0.008453,0.008994,-0.999922,89.170845,222.661179,-144.562637
224,1.866667,-0.002072,0.008433,0.008934,-0.999922,89.201164,222.650589,-144.551987
225,1.875000,-0.002005,0.008435,0.008993,-0.999922,89.194489,222.647034,-144.567490
226,1.883333,-0.002052,0.008490,0.008915,-0.999922,89.200287,222.636475,-144.573471
227,1.891667,-0.002047,0.008514,0.009023,-0.999921,89.212135,222.646072,-144.554962
228,1.900000,-0.002119,0.008566,0.008951,-0.999921,89.225349,222.663559,-144.581955
229,1.908333,-0.002058,0.008540,0.008982,-0.999921,89.221794,222.670074,-144.572784
230,1.916667,-0.002006,0.008532,0.008988,-0.999921,89.219582,222.646133,-144.584976
231,1.925000,-0.002066,0.008575,0.008991,-0.999921,89.231667,222.650787,-144.585052
232,1.933333,-0.002086,0.008582,0.008930,-0.999921,89.231758,222.664520,-144.589752
