Format Version,1.23,Take Name,Take 2024-05-10 11.31.19 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-05-10 11.31.19.221 AM,Total Frames in Take,9420,Total Exported Frames,9420,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,w,X,Y,Z
3612,30.100000,0.014213,0.051505,0.048431,-0.997396,-1296.000122,974.496155,125.708160
3613,30.108333,0.013800,0.053808,0.049973,-0.997205,-1298.560913,982.122253,124.091225
3614,30.116667,0.004481,0.052508,0.040953,-0.997770,-1305.028320,983.978333,122.396095
3615,30.125000,0.011142,0.050461,0.044944,-0.997652,-1309.166138,989.090515,122.209755
3616,30.133333,0.005294,0.051540,0.035874,-0.998012,-1313.894531,994.535767,120.348953
3617,30.141667,0.010698,0.050231,0.041778,-0.997806,-1317.526367,1000.320923,119.795311
3618,30.150000,0.015434,0.051109,0.037332,-0.997876,-1321.592407,1007.802979,118.458641
3619,30.158333,0.017664,0.049778,0.043389,-0.997661,-1325.655640,1013.505676,118.019836
3620,30.166667,0.018382,0.049519,0.041989,-0.997721,-1329.610229,1018.960571,116.353081
3621,30.175000,0.002931,0.048942,0.045570,-0.997757,-1333.495972,1028.322266,115.311607
3622,30.183333,0.013250,0.050423,0.024221,-0.998346,-1338.650879,1031.724609,114.248466
3623,30.191667,0.004109,0.049603,0.021413,-0.998531,-1342.113403,1033.658447,112.456055
3624,30.200000,0.005268,0.049253,0.020773,-0.998556,-1345.871094,1039.600342,111.206078
3625,30.208333,0.013722,0.049140,0.022940,-0.998434,-1349.739380,1048.244263,110.191849
3626,30.216667,0.012547,0.049774,0.017923,-0.998521,-1354.328857,1054.409302,108.883804
3627,30.225000,0.014723,0.048676,0.021057,-0.998484,-1357.419067,1059.758423,107.648453
3628,30.233333,0.002485,0.047142,0.031057,-0.998402,-1361.546143,1068.519043,106.351097
3629,30.241667,0.018301,0.045861,0.018890,-0.998602,-1364.975586,1071.795166,104.328995
3630,30.250000,0.011676,0.047116,0.022560,-0.998566,-1369.984741,1076.277100,104.192841
3631,30.258333,0.009767,0.047368,0.012886,-0.998747,-1373.692261,1080.433105,102.195915
3632,30.266667,0.009968,0.048044,0.011264,-0.998732,-1377.931030,1086.637939,100.735634
3633,30.275000,0.006656,0.050186,0.007998,-0.998686,-1381.271606,1092.822632,98.288788
3634,30.283333,0.015276,0.048055,0.005997,-0.998710,-1385.372070,1100.205200,98.474915
3635,30.291667,0.014908,0.047359,0.004417,-0.998757,-1389.564575,1106.418091,97.193756
3636,30.300000,0.015492,0.047056,0.005483,-0.998757,-1393.147339,1112.479614,95.726822
3637,30.308333,0.012120,0.047524,-0.001714,-0.998795,-1397.909180,1118.789429,94.405388
3638,30.316667,0.010215,0.047060,0.003202,-0.998835,-1401.847900,1121.994141,92.247192
3639,30.325000,0.007090,0.047512,0.001396,-0.998845,-1405.651123,1128.244385,90.044510
3640,30.333333,0.011314,0.046099,0.000719,-0.998873,-1409.881836,1133.847534,89.779816
3641,30.341667,0.010410,0.046627,0.000218,-0.998858,-1414.081665,1139.977417,87.900642
3642,30.350000,0.010094,0.046743,-0.000564,-0.998856,-1418.212158,1145.999512,86.407928
3643,30.358333,0.010083,0.046150,-0.000802,-0.998883,-1422.211670,1152.091064,84.827301
3644,30.366667,0.008708,0.048341,-0.000450,-0.998793,-1426.580688,1158.438354,82.770767
3645,30.375000,0.010221,0.047233,-0.009592,-0.998786,-1429.667725,1165.203979,82.181099
3646,30.383333,0.012236,0.046045,-0.009471,-0.998820,-1434.270874,1171.586060,81.040070
3647,30.391667,0.009930,0.046291,-0.011581,-0.998812,-1439.133179,1177.978882,79.337654
3648,30.400000,0.014420,0.046072,-0.003675,-0.998827,-1442.865967,1184.108887,77.694374
3649,30.408333,0.014596,0.045318,-0.003098,-0.998861,-1447.247070,1190.616943,75.390495
3650,30.416667,0.008607,0.047205,-0.003576,-0.998842,-1451.866943,1194.995850,72.920570
3651,30.425000,0.009397,0.047517,-0.003525,-0.998820,-1456.119019,1201.285400,71.324249
3652,30.433333,0.008348,0.047790,-0.004821,-0.998811,-1460.469482,1207.710449,69.623459
3653,30.441667,0.011835,0.045700,-0.003084,-0.998880,-1465.205200,1213.408203,68.670250
3654,30.450000,0.012281,0.046701,-0.002644,-0.998830,-1470.124023,1219.595581,66.700485
3655,30.458333,0.010463,0.047786,-0.003516,-0.998797,-1474.022583,1226.084717,64.399269
3656,30.466667,0.009336,0.044551,-0.010098,-0.998913,-1478.330200,1234.104126,64.463943
3657,30.475000,0.014120,0.048002,-0.000465,-0.998747,-1481.279541,1242.907959,61.531620
3658,30.483333,0.011028,0.047108,-0.009848,-0.998780,-1486.980347,1246.289917,59.393162
3659,30.491667,0.017452,0.041486,-0.009089,-0.998945,-1490.545654,1251.939697,59.064137
3660,30.500000,0.011835,0.045202,-0.003330,-0.998902,-1496.957031,1256.971558,55.798523
3661,30.508333,0.010537,0.047007,-0.003445,-0.998833,-1501.410278,1263.684448,53.468540
3662,30.516667,0.012572,0.046151,-0.002772,-0.998852,-1506.381836,1269.725830,52.052956
3663,30.525000,0.010920,0.047008,-0.003595,-0.998828,-1510.854614,1276.182007,49.695744
3664,30.533333,0.010264,0.047730,-0.004575,-0.998797,-1515.460571,1282.782593,47.678001
3665,30.541667,0.011022,0.047169,-0.003454,-0.998820,-1520.251221,1289.117676,45.854172
3666,30.550000,0.017431,0.045584,-0.004103,-0.998800,-1525.092407,1296.484009,45.125557
3667,30.558333,0.016696,0.046709,-0.004992,-0.998757,-1529.456055,1302.538452,43.232414
3668,30.566667,0.016510,0.046388,-0.003872,-0.998780,-1534.625977,1309.569092,41.023247
3669,30.575000,0.010994,0.041351,-0.006259,-0.999065,-1538.314697,1314.310181,38.186634
3670,30.583333,0.011726,0.045359,-0.002256,-0.998899,-1544.667847,1320.446289,36.150391
3671,30.591667,0.008105,0.047884,-0.005101,-0.998807,-1549.207275,1327.436157,33.461796
3672,30.600000,0.010376,0.047233,-0.002172,-0.998828,-1554.571411,1333.609863,31.656179
3673,30.608333,0.013680,0.045404,-0.001599,-0.998874,-1559.659302,1339.658081,30.321129
3674,30.616667,0.010580,0.044745,-0.002112,-0.998940,-1564.156494,1346.311768,27.746693
3675,30.625000,0.009851,0.047848,-0.002974,-0.998802,-1569.280884,1352.943237,25.157087
3676,30.633333,0.008594,0.042795,-0.007864,-0.999016,-1572.956177,1359.331421,23.668825
3677,30.641667,0.012200,0.045119,0.000208,-0.998907,-1579.880493,1365.831421,21.671091
3678,30.650000,0.008598,0.042858,-0.007501,-0.999016,-1582.906250,1372.195923,19.374466
3679,30.658333,0.007562,0.048428,-0.002247,-0.998796,-1589.580811,1379.026001,15.622447
3680,30.666667,0.014259,0.041682,-0.008281,-0.998995,-1593.212402,1386.031372,16.012325
3681,30.675000,0.012465,0.045605,0.000467,-0.998882,-1600.504395,1391.702148,12.755945
3682,30.683333,0.010401,0.047416,-0.000581,-0.998821,-1605.347656,1398.430542,9.814147
3683,30.691667,0.011396,0.046015,-0.000521,-0.998876,-1610.846069,1404.871704,8.125540
3684,30.700000,0.007629,0.047970,-0.002901,-0.998815,-1615.591431,1411.605469,5.144449
3685,30.708333,0.008550,0.048729,-0.001414,-0.998775,-1621.022339,1418.254639,2.752568
3686,30.716667,0.010151,0.047774,0.001355,-0.998806,-1626.551880,1424.663086,0.729069
3687,30.725000,0.015319,0.045169,0.001207,-0.998861,-1631.650513,1431.562500,-0.116536
3688,30.733333,0.007615,0.042442,-0.003603,-0.999063,-1635.471191,1437.608154,-3.553048
3689,30.741667,0.008146,0.041610,-0.000833,-0.999100,-1640.787598,1444.195801,-6.230235
3690,30.750000,0.005578,0.048178,0.001610,-0.998822,-1647.478394,1451.056152,-8.963072
3691,30.758333,0.007704,0.046676,0.006084,-0.998862,-1653.385742,1457.609741,-11.105770
3692,30.766667,0.005339,0.047829,0.005008,-0.998829,-1658.306152,1464.263062,-13.750182
3693,30.775000,0.005375,0.046883,0.007163,-0.998860,-1663.985718,1470.749512,-16.038239
3694,30.783333,0.003777,0.047756,0.007186,-0.998826,-1669.204468,1477.660400,-18.550411
3695,30.791667,0.006348,0.045809,0.010598,-0.998874,-1675.039429,1484.015991,-20.157780
3696,30.800000,0.004007,0.046100,0.010039,-0.998878,-1680.288940,1490.805664,-22.708076
3697,30.808333,0.000516,0.048145,0.009172,-0.998798,-1685.452515,1497.604858,-25.945387
3698,30.816667,0.003070,0.045675,0.013759,-0.998857,-1691.181152,1503.916748,-27.769012
3699,30.825000,-0.004006,0.045069,0.008246,-0.998942,-1694.469971,1511.127441,-31.691961
3700,30.833333,-0.002045,0.043162,0.008645,-0.999029,-1700.116455,1517.435669,-32.495346
3701,30.841667,0.001460,0.045642,0.016200,-0.998825,-1707.504761,1524.198853,-34.837677
3702,30.850000,-0.001224,0.047425,0.016900,-0.998731,-1712.895142,1531.101929,-38.005569
3703,30.858333,-0.003138,0.047503,0.014711,-0.998758,-1718.007446,1538.005615,-40.478470
3704,30.866667,0.000177,0.046086,0.019394,-0.998749,-1723.977417,1544.477295,-42.254604
3705,30.875000,-0.001994,0.048259,0.019295,-0.998647,-1729.231323,1551.554932,-45.560482
3706,30.883333,-0.004554,0.047668,0.017677,-0.998696,-1734.488281,1558.371826,-48.111233
3707,30.891667,-0.003477,0.042975,0.014178,-0.998970,-1738.350342,1564.936523,-49.798965
3708,30.900000,-0.006075,0.045631,0.033040,-0.998393,-1745.365234,1577.097656,-52.250362
3709,30.908333,0.002330,0.046965,0.023941,-0.998607,-1749.610474,1583.571167,-54.199921
3710,30.916667,-0.003192,0.048698,0.019314,-0.998622,-1755.990723,1585.701660,-58.040909
3711,30.925000,0.002219,0.045863,0.024268,-0.998650,-1762.230225,1592.318726,-59.543549
3712,30.933333,-0.002535,0.038536,0.016408,-0.999119,-1765.001831,1599.032959,-63.605534
3713,30.941667,0.002441,0.046067,0.024642,-0.998631,-1772.844849,1606.152222,-64.653809
3714,30.950000,0.002995,0.045583,0.024843,-0.998647,-1778.256714,1613.036987,-67.173233
3715,30.958333,-0.000580,0.041323,0.018343,-0.998977,-1781.532959,1619.887329,-70.739609
3716,30.966667,0.008114,0.045960,0.021320,-0.998683,-1789.053101,1629.623901,-71.928513
3717,30.975000,0.001974,0.046683,0.025655,-0.998578,-1794.133789,1634.181519,-75.435623
3718,30.983333,0.007786,0.044194,0.025167,-0.998676,-1799.413452,1641.114502,-76.386627
3719,30.991667,0.005555,0.045568,0.026971,-0.998582,-1805.131592,1647.989868,-79.643639
3720,31.000000,0.005664,0.045800,0.026812,-0.998575,-1810.568115,1654.932617,-82.314919
3721,31.008333,0.006615,0.045489,0.028054,-0.998549,-1815.900146,1662.122192,-84.583237
3722,31.016667,0.000823,0.039191,0.022342,-0.998982,-1818.189575,1669.024780,-87.909576
3723,31.025000,0.002860,0.041046,0.021573,-0.998920,-1824.246948,1675.910889,-90.707748
3724,31.033333,0.004167,0.047080,0.027349,-0.998508,-1831.267822,1683.366089,-92.975800
3725,31.041667,0.003087,0.041379,0.024059,-0.998849,-1834.897827,1690.540283,-95.681595
3726,31.050000,0.008251,0.044269,0.028515,-0.998579,-1841.962769,1697.029175,-97.154228
3727,31.058333,0.007946,0.045061,0.028746,-0.998539,-1847.269165,1704.305908,-99.886475
3728,31.066667,0.006935,0.045499,0.029555,-0.998503,-1852.531372,1711.757446,-102.555580
3729,31.075000,0.008710,0.045484,0.029047,-0.998505,-1857.734863,1718.595093,-105.126450
3730,31.083333,0.008714,0.044984,0.028832,-0.998534,-1862.825562,1725.583862,-107.687149
3731,31.091667,0.010171,0.045456,0.029907,-0.998467,-1868.317749,1732.831055,-110.137032
3732,31.100000,0.007679,0.046216,0.029342,-0.998471,-1873.065674,1740.127197,-113.448189
3733,31.108333,0.015548,0.040727,0.024993,-0.998737,-1876.772949,1747.734009,-114.103729
3734,31.116667,0.010517,0.045161,0.029702,-0.998483,-1883.489624,1754.158813,-118.247475
3735,31.125000,0.010841,0.044674,0.029310,-0.998513,-1888.466187,1761.203735,-120.858971
3736,31.133333,0.011228,0.045235,0.028666,-0.998502,-1893.369019,1768.543945,-123.331421
3737,31.141667,0.012453,0.045009,0.029967,-0.998459,-1898.830078,1775.770996,-125.991760
3738,31.150000,0.011192,0.045815,0.029689,-0.998446,-1903.625244,1783.361206,-129.190430
3739,31.158333,0.013799,0.045648,0.030151,-0.998407,-1909.155151,1790.338135,-131.434113
3740,31.166667,0.006980,0.044092,0.022069,-0.998759,-1911.593506,1797.759155,-135.858688
3741,31.175000,0.015556,0.043750,0.027550,-0.998541,-1918.659668,1804.539917,-136.402878
3742,31.183333,0.013109,0.039823,0.025738,-0.998789,-1922.563843,1811.985718,-139.831238
3743,31.191667,0.012774,0.044576,0.028557,-0.998516,-1928.735840,1819.556396,-142.720779
3744,31.200000,0.015466,0.044616,0.026624,-0.998530,-1933.552246,1826.428467,-144.979965
3745,31.208333,0.013538,0.045415,0.026331,-0.998529,-1938.687622,1833.881836,-148.627289
3746,31.216667,0.015395,0.043706,0.026313,-0.998579,-1943.715576,1841.063232,-150.615723
3747,31.225000,0.013943,0.044404,0.025812,-0.998583,-1948.515381,1848.630249,-154.002182
3748,31.233333,0.013518,0.045184,0.023576,-0.998609,-1953.213379,1855.794678,-157.220001
3749,31.241667,0.012673,0.040356,0.017303,-0.998955,-1956.259033,1863.315186,-160.344177
3750,31.250000,0.013615,0.040314,0.016935,-0.998951,-1961.215210,1870.317505,-162.905334
3751,31.258333,0.013429,0.045584,0.020230,-0.998665,-1967.849487,1877.558594,-166.007309
3752,31.266667,0.013902,0.045271,0.020290,-0.998672,-1972.918335,1884.926025,-168.994125
3753,31.275000,0.013980,0.045631,0.019109,-0.998678,-1977.639526,1892.324341,-171.786942
3754,31.283333,0.012970,0.046612,0.017255,-0.998680,-1982.312012,1899.723389,-175.523865
3755,31.291667,0.013161,0.046637,0.016848,-0.998683,-1987.232666,1907.137695,-178.458923
3756,31.300000,0.012655,0.046137,0.016025,-0.998726,-1992.052734,1914.518555,-181.550964
3757,31.308333,0.013468,0.047023,0.017310,-0.998653,-1997.531250,1921.965576,-184.583694
3758,31.316667,0.013662,0.039730,0.011552,-0.999050,-2000.249878,1929.272461,-186.747208
3759,31.325000,0.013485,0.040557,0.010595,-0.999030,-2004.976318,1936.698364,-190.018143
3760,31.333333,0.013159,0.040018,0.010689,-0.999055,-2009.856689,1944.121094,-193.091400
3761,31.341667,0.010167,0.045640,0.013938,-0.998809,-2016.162354,1951.416870,-197.404831
3762,31.350000,0.011691,0.045928,0.014070,-0.998777,-2021.200928,1959.083618,-200.180359
3763,31.358333,0.011540,0.046184,0.013397,-0.998776,-2026.174805,1966.473755,-203.218933
3764,31.366667,0.012197,0.045815,0.014273,-0.998774,-2031.177246,1973.973633,-206.322662
3765,31.375000,0.011272,0.046870,0.013247,-0.998750,-2035.741089,1981.488159,-209.720581
3766,31.383333,0.012093,0.046054,0.013729,-0.998771,-2040.829956,1988.999268,-212.932495
3767,31.391667,0.014124,0.039604,0.009237,-0.999073,-2044.071899,1996.219116,-215.110779
3768,31.400000,0.013872,0.040046,0.008647,-0.999064,-2048.849121,2003.649658,-218.431030
3769,31.408333,0.014106,0.039113,0.009173,-0.999093,-2053.907715,2011.159668,-221.633331
3770,31.416667,0.011174,0.045206,0.012899,-0.998832,-2060.072754,2018.891113,-226.285477
3771,31.425000,0.011945,0.045950,0.012533,-0.998794,-2064.989502,2026.644043,-229.459930
3772,31.433333,0.011933,0.045927,0.012821,-0.998791,-2069.935547,2034.158203,-232.623978
3773,31.441667,0.012199,0.046024,0.013103,-0.998780,-2074.892822,2041.624756,-236.008652
3774,31.450000,0.011923,0.045984,0.012550,-0.998792,-2079.692383,2049.224365,-239.405609
3775,31.458333,0.011890,0.045867,0.012662,-0.998797,-2084.525391,2056.815430,-242.832382
3776,31.466667,0.011958,0.046051,0.013048,-0.998782,-2089.549072,2064.409180,-246.310165
3777,31.475000,0.014329,0.039051,0.008931,-0.999095,-2092.976074,2071.442383,-248.690735
3778,31.483333,0.009731,0.045648,0.011177,-0.998848,-2098.885742,2079.385986,-253.600723
3779,31.491667,0.008359,0.042597,0.005488,-0.999042,-2102.035156,2087.030273,-257.210907
3780,31.500000,0.015334,0.038612,0.012068,-0.999064,-2108.399414,2093.794434,-258.682800
3781,31.508333,0.009181,0.044894,0.011102,-0.998888,-2113.638184,2101.655273,-264.271790
3782,31.516667,0.010398,0.045282,0.012100,-0.998847,-2118.673828,2109.332764,-267.571991
3783,31.525000,0.010881,0.045641,0.012364,-0.998822,-2123.812012,2116.588867,-270.887360
3784,31.533333,0.008440,0.045960,0.009985,-0.998858,-2128.371094,2124.354980,-275.034180
3785,31.541667,0.010912,0.045294,0.011964,-0.998842,-2133.620361,2131.461182,-278.068726
3786,31.550000,0.010805,0.045122,0.011889,-0.998852,-2138.653320,2138.720459,-281.589691
3787,31.558333,0.015418,0.042806,0.014807,-0.998855,-2144.207520,2145.603027,-284.014435
3788,31.566667,0.011211,0.044464,0.012007,-0.998876,-2148.524902,2153.290039,-288.845764
3789,31.575000,0.015316,0.042211,0.013961,-0.998894,-2154.016113,2160.009766,-291.357666
3790,31.583333,0.015030,0.042033,0.014174,-0.998903,-2158.999756,2167.166260,-295.026581
3791,31.591667,0.014949,0.041308,0.013129,-0.998948,-2163.761230,2174.161377,-298.692322
3792,31.600000,0.015210,0.041640,0.013822,-0.998921,-2168.870117,2181.175293,-302.369904
3793,31.608333,0.014306,0.041506,0.013154,-0.998949,-2173.706787,2188.102295,-306.306549
3794,31.616667,0.014294,0.041836,0.013846,-0.998926,-2178.737549,2195.071289,-310.053711
3795,31.625000,0.014231,0.040559,0.013061,-0.998990,-2183.613037,2201.718994,-313.694824
3796,31.633333,0.014053,0.040908,0.013682,-0.998970,-2188.625488,2208.563232,-317.513153
3797,31.641667,0.014216,0.040179,0.013665,-0.998998,-2193.621094,2215.044189,-321.121094
3798,31.650000,0.014213,0.039993,0.013663,-0.999005,-2198.602295,2221.657959,-324.852112
3799,31.658333,0.014075,0.039655,0.013727,-0.999020,-2203.650391,2228.149658,-328.685944
3800,31.666667,0.014090,0.039522,0.014399,-0.999016,-2208.607422,2234.645264,-332.480042
3801,31.675000,0.013620,0.039142,0.013579,-0.999049,-2213.525635,2241.041016,-336.323853
3802,31.683333,0.013403,0.038944,0.012828,-0.999069,-2218.302979,2247.289063,-340.089508
3803,31.691667,0.013862,0.038796,0.014314,-0.999048,-2223.464844,2253.662842,-343.955170
3804,31.700000,0.013733,0.038531,0.014583,-0.999057,-2228.596436,2259.873291,-347.904633
3805,31.708333,0.013839,0.038481,0.014677,-0.999056,-2233.611328,2265.888672,-351.773346
3806,31.716667,0.013236,0.037696,0.013184,-0.999115,-2238.330078,2271.875977,-355.534424
3807,31.725000,0.013717,0.038143,0.015079,-0.999064,-2243.600342,2278.000000,-359.559418
3808,31.733333,0.013483,0.037815,0.014767,-0.999085,-2248.603271,2283.824707,-363.445648
3809,31.741667,0.013514,0.037356,0.014426,-0.999107,-2253.386719,2289.714111,-367.406250
3810,31.750000,0.013048,0.037452,0.014722,-0.999105,-2258.557129,2295.408447,-371.372406
3811,31.758333,0.012897,0.036770,0.015087,-0.999127,-2263.491211,2301.124023,-375.443970
3812,31.766667,0.010493,0.034007,0.011427,-0.999301,-2267.156738,2306.810791,-379.721954
3813,31.775000,0.010039,0.033757,0.011514,-0.999313,-2272.233398,2312.315674,-383.596771
3814,31.783333,0.008711,0.032879,0.011407,-0.999356,-2277.124268,2317.744385,-387.690857
3815,31.791667,0.007648,0.033921,0.012008,-0.999323,-2282.097656,2323.222900,-391.573425
3816,31.800000,0.006396,0.032811,0.012012,-0.999369,-2287.106689,2328.756104,-395.442139
3817,31.808333,0.005262,0.033510,0.015588,-0.999303,-2292.861816,2333.758789,-399.285767
3818,31.816667,0.001045,0.031906,0.011601,-0.999423,-2296.871338,2339.188477,-403.442871
3819,31.825000,0.000139,0.032920,0.016168,-0.999327,-2302.835693,2344.022461,-407.190002
3820,31.833333,-0.003204,0.032958,0.016257,-0.999319,-2307.893555,2349.073486,-411.176270
3821,31.841667,-0.008187,0.031681,0.012494,-0.999386,-2312.107178,2354.246826,-415.293701
3822,31.850000,-0.011920,0.031704,0.012307,-0.999350,-2317.003662,2359.141113,-419.237885
3823,31.858333,-0.013950,0.031785,0.016804,-0.999256,-2322.920898,2363.803467,-422.981903
3824,31.866667,-0.017902,0.032082,0.016517,-0.999188,-2328.007568,2368.544678,-426.775787
3825,31.875000,-0.022852,0.030725,0.013284,-0.999178,-2332.171143,2373.348633,-430.980072
3826,31.883333,-0.026249,0.033342,0.017025,-0.998954,-2338.484863,2377.619385,-434.580902
3827,31.891667,-0.029464,0.031994,0.017148,-0.998907,-2343.297119,2382.383789,-438.448669
3828,31.900000,-0.032277,0.031590,0.017282,-0.998830,-2348.274414,2386.974609,-442.292725
3829,31.908333,-0.036005,0.030706,0.016270,-0.998747,-2353.141357,2391.370850,-445.781250
3830,31.916667,-0.040358,0.029433,0.013059,-0.998666,-2357.124268,2396.213379,-449.798187
3831,31.925000,-0.038297,0.029388,0.021206,-0.998609,-2362.391357,2400.687744,-454.357513
3832,31.933333,-0.039957,0.028919,0.022529,-0.998529,-2367.286133,2405.385010,-458.400482
3833,31.941667,-0.049832,0.029578,0.011448,-0.998254,-2372.444092,2408.833496,-460.518768
3834,31.950000,-0.050819,0.029724,0.015676,-0.998142,-2378.266357,2412.806396,-463.649628
3835,31.958333,-0.053494,0.029828,0.015354,-0.998005,-2383.385254,2416.865234,-467.126160
3836,31.966667,-0.055518,0.029468,0.015445,-0.997903,-2388.349854,2420.929199,-470.528625
3837,31.975000,-0.057374,0.029336,0.015541,-0.997801,-2393.456543,2424.935547,-473.752380
3838,31.983333,-0.060855,0.028446,0.011102,-0.997679,-2397.655518,2429.121094,-477.149139
3839,31.991667,-0.061786,0.028284,0.011974,-0.997617,-2402.823730,2432.968262,-480.189423
3840,32.000000,-0.063217,0.028275,0.011598,-0.997532,-2407.833496,2436.827637,-483.293091
3841,32.008333,-0.064119,0.027817,0.012057,-0.997482,-2412.888184,2440.518066,-486.243317
3842,32.016667,-0.064990,0.027969,0.011755,-0.997425,-2418.018066,2444.322998,-489.085052
3843,32.025000,-0.065559,0.027736,0.011744,-0.997394,-2422.927734,2447.931641,-492.017731
3844,32.033333,-0.065458,0.027986,0.012288,-0.997387,-2428.167725,2451.673340,-494.682098
3845,32.041667,-0.065677,0.027780,0.012245,-0.997379,-2433.287354,2455.134277,-497.380066
3846,32.050000,-0.065249,0.027506,0.013034,-0.997405,-2438.298096,2458.701172,-499.893402
3847,32.058333,-0.064610,0.027552,0.013414,-0.997440,-2443.402100,2462.082764,-502.386993
3848,32.066667,-0.063277,0.027265,0.014652,-0.997516,-2448.497070,2465.580078,-504.844238
3849,32.075000,-0.062045,0.027140,0.014040,-0.997606,-2453.410645,2469.072754,-507.211151
3850,32.083333,-0.060761,0.027016,0.015530,-0.997666,-2458.581787,2472.197998,-509.525055
3851,32.091667,-0.058889,0.026760,0.016491,-0.997770,-2463.593750,2475.464355,-511.687286
3852,32.100000,-0.056909,0.032761,0.011514,-0.997775,-2470.121338,2479.628174,-512.949524
3853,32.108333,,,,,,,
3854,32.116667,-0.050337,0.026692,0.022136,-0.998130,-2478.729248,2485.166260,-517.934570
3855,32.125000,-0.047294,0.026331,0.024261,-0.998239,-2483.740234,2488.098389,-519.834961
3856,32.133333,-0.044150,0.026225,0.026845,-0.998320,-2488.625977,2491.217773,-521.742981
3857,32.141667,-0.040782,0.025958,0.029483,-0.998396,-2493.610107,2494.196533,-523.591309
3858,32.150000,-0.036975,0.025714,0.032416,-0.998459,-2498.489258,2497.088135,-525.451172
3859,32.158333,-0.033299,0.025303,0.035186,-0.998505,-2503.488281,2499.748779,-527.039368
3860,32.166667,-0.029498,0.025109,0.038454,-0.998509,-2508.448486,2502.481689,-528.729614
3861,32.175000,-0.026429,0.026087,0.041126,-0.998464,-2512.933105,2505.318604,-530.466248
3862,32.183333,-0.023303,0.025585,0.044716,-0.998400,-2517.795166,2508.080078,-532.000427
3863,32.191667,-0.020313,0.025213,0.047932,-0.998326,-2522.578369,2510.645508,-533.505615
3864,32.200000,-0.017149,0.024770,0.051823,-0.998202,-2527.412842,2513.268555,-535.075867
3865,32.208333,-0.014965,0.024626,0.054320,-0.998108,-2531.966797,2515.623779,-536.671875
3866,32.216667,-0.011711,0.025931,0.055421,-0.998058,-2536.478516,2518.244141,-538.083069
3867,32.225000,-0.011439,0.029349,0.059313,-0.997742,-2541.748047,2520.329346,-539.744812
3868,32.233333,-0.008376,0.026516,0.059489,-0.997842,-2545.684326,2522.785400,-541.217346
3869,32.241667,-0.006587,0.026018,0.061642,-0.997737,-2549.948486,2524.993896,-542.466431
3870,32.250000,-0.006480,0.024660,0.065299,-0.997540,-2554.612549,2526.856445,-543.919128
3871,32.258333,-0.004578,0.025464,0.065169,-0.997539,-2558.744141,2529.123047,-545.315735
3872,32.266667,-0.003743,0.025877,0.066412,-0.997450,-2563.054443,2531.199951,-546.633362
3873,32.275000,-0.002877,0.025920,0.068049,-0.997341,-2567.405762,2533.140381,-547.979248
3874,32.283333,-0.002225,0.026255,0.069658,-0.997223,-2571.677734,2534.998779,-549.356201
3875,32.291667,-0.001701,0.026184,0.070214,-0.997187,-2575.597168,2536.697510,-550.735779
3876,32.300000,-0.001596,0.025977,0.070895,-0.997144,-2579.567871,2538.376709,-552.156677
3877,32.308333,-0.001346,0.025589,0.072158,-0.997064,-2583.583496,2540.098145,-553.573120
3878,32.316667,-0.002043,0.029735,0.078605,-0.996460,-2589.104492,2541.698975,-555.024353
3879,32.325000,-0.001983,0.029548,0.079249,-0.996415,-2592.910156,2543.264160,-556.465759
3880,32.333333,-0.000788,0.025362,0.072778,-0.997025,-2594.701904,2544.721924,-557.689697
3881,32.341667,-0.000944,0.030194,0.080283,-0.996314,-2600.325439,2546.069092,-559.083801
3882,32.350000,-0.000640,0.026751,0.083476,-0.996150,-2603.766113,2548.056152,-560.470947
3883,32.358333,0.000317,0.029638,0.081174,-0.996259,-2607.495361,2548.847900,-561.806274
3884,32.366667,0.001057,0.029596,0.081836,-0.996206,-2610.929688,2550.074951,-563.124390
3885,32.375000,0.001427,0.028966,0.082044,-0.996207,-2614.304688,2551.229492,-564.489380
3886,32.383333,0.001855,0.026692,0.085008,-0.996021,-2617.225586,2552.927979,-566.239685
3887,32.391667,0.002200,0.026908,0.084943,-0.996020,-2620.460449,2553.896240,-567.490112
3888,32.400000,0.003439,0.029853,0.083226,-0.996078,-2623.936035,2554.563965,-568.808655
3889,32.408333,0.006352,0.024662,0.076267,-0.996762,-2624.925293,2555.652588,-569.774292
3890,32.416667,0.007293,0.024400,0.076802,-0.996721,-2627.883789,2556.584473,-571.155273
3891,32.425000,0.008403,0.024217,0.076814,-0.996716,-2630.650391,2557.436279,-572.574890
3892,32.433333,0.009940,0.021938,0.080442,-0.996468,-2632.887939,2558.849854,-574.431763
